time_ms,status,altitude_m,speed_ms,accel_ms2
50844,4,1591,165,-5.3
50864,4,1593,165,-6.5
50884,4,1597,164,-7.6
50904,4,1601,164,-4.3
50924,4,1603,164,-7.3
50944,4,1608,164,-5.8
50964,4,1610,164,-5.7
50984,4,1614,163,-3.8
51004,4,1618,163,-2.5
51024,4,1620,163,-4.7
51044,4,1624,163,-2.1
51064,4,1629,163,-2.7
51084,4,1631,162,-4.4
51104,4,1635,162,-8.4
51124,4,1637,162,-4.4
51144,4,1642,162,-7.7
51164,4,1646,162,-6.2
51184,4,1648,161,-8.1
51204,4,1652,161,-6.8
51224,4,1654,161,-6.7
51244,4,1658,161,-7.5
51264,4,1662,161,-6.7
51284,4,1664,161,-2.4
51304,4,1668,160,-5
51324,4,1670,160,-6
51344,4,1674,160,-7.9
51364,4,1678,160,-7.6
51384,4,1680,160,-7.7
51404,4,1685,159,-7.1
51424,4,1687,159,-7.7
51444,4,1691,159,-7.6
51464,4,1695,159,-8.1
51484,4,1697,159,-6.3
51504,4,1701,158,-6.7
51524,4,1705,158,-5.4
51544,4,1708,158,-8
51564,4,1712,158,-6.7
51584,4,1714,158,-3.3
51604,4,1718,157,-6.4
51624,4,1722,157,-8.2
51644,4,1724,157,-8
51664,4,1728,157,-3.1
51684,4,1730,157,-5.4
51704,4,1734,156,-7.7
51724,4,1738,156,-3.3
51744,4,1740,156,-3
51764,4,1745,156,-9.2
51784,4,1747,156,-6.8
51804,4,1751,155,-9.5
51824,4,1754,155,-4.8
51844,4,1756,155,-7.6
51864,4,1760,155,-4.3
51884,4,1762,155,-5.1
51904,4,1767,154,-6
51924,4,1771,154,-8
51944,4,1773,154,-8.7
51964,4,1777,154,-8.1
51984,4,1781,154,-7.7
52004,4,1783,153,-6.6
52024,4,1787,153,-5.8
52044,4,1789,153,-4.8
52064,4,1793,153,-9
52084,4,1797,153,-7.4
52104,4,1799,152,-5.1
52124,4,1803,152,-9.2
52144,4,1805,152,-7.1
52164,4,1809,152,-7.6
52184,4,1813,152,-6
52204,4,1815,151,-8.2
52224,4,1819,151,-6.3
52244,4,1821,151,-7.3
52264,4,1826,151,-6.6
52284,4,1830,151,-5.5
52304,4,1832,150,-9.7
52324,4,1836,150,-7
52344,4,1840,150,-5
52364,4,1841,150,-10
52384,4,1845,150,-8.2
52404,4,1847,150,-4.9
52424,4,1851,149,-11.2
52444,4,1856,149,-8.2
52464,4,1857,149,-7.1
52484,4,1862,149,-8.4
52504,4,1863,149,-7.1
52524,4,1867,148,-8.8
52544,4,1871,148,-6
52564,4,1873,148,-6.6
52584,4,1877,148,-6.2
52604,4,1879,148,-3.9
52624,4,1883,147,-7.4
52644,4,1887,147,-5.5
52664,4,1889,147,-7.3
52684,4,1893,147,-10.4
52704,4,1895,147,-5.5
52724,4,1899,146,-3.7
52744,4,1903,146,-8.8
52764,4,1905,146,-7.4
52784,4,1909,146,-5
52804,4,1913,146,-9.1
52824,4,1915,145,-5.9
52844,4,1918,145,-4.3
52864,4,1920,145,-10.7
52884,4,1924,145,-8.8
